Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID3,3,1,2.697,387.459,395.033,0,0,0,11,1,-10921639,22.884,0,0,149,9451,35.272,22.476,0.679,0.525
ID7,7,1,16.009,396.505,394.79,0,1,1,11,1,-10921639,80.031,76,0,149,33053,56.507,13.356,0.687,1.153
ID4,4,1,13.829,373.547,394.014,0,2,2,11,1,-10921639,81.947,86,0,149,33844,56.345,20.001,0.632,1.127
