Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID25,25,1,6.57,386.05,397.052,0,0,0,11,1,-10921639,39.441,21,0,149,16289,47.821,15.705,0.778,0.722
ID31,31,1,18.992,397.233,396.327,0,1,1,11,1,-10921639,102.167,130,0,149,42195,54.456,20.937,0.755,1.615
ID28,28,1,18.192,373.564,396.09,0,2,2,11,1,-10921639,100.959,119,0,149,41696,53.966,18.312,0.732,1.582
