Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID60,60,1,6.989,386.646,396.839,0,0,0,11,1,-10921639,42.203,21,0,149,17430,49.662,16.191,0.81,0.761
ID52,52,1,18.615,397.122,397.014,0,1,1,11,1,-10921639,89.177,97,0,149,36830,58.989,16.241,0.798,1.342
ID56,56,1,15.086,374.047,396.517,0,2,2,11,1,-10921639,74.939,76,0,149,30950,56.436,16.495,0.775,1.16
