Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID119,119,0,2.39,377.369,361.63,0,0,0,11,1,-10921639,17.615,0,0,149,7275,30.35,41.8,0.45,0.36
ID115,115,0,14.172,376.292,367.477,0,1,1,11,1,-10921639,82.852,86,0,149,34218,58.124,17.914,0.772,1.242
ID125,125,0,17.666,382.83,367.414,0,2,2,11,1,-10921639,106.245,149,0,149,43879,53.937,19.338,0.781,1.728
