Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID24,24,0,2.393,362.839,373.272,0,0,0,11,1,-10921639,22.315,0,0,149,9216,36.202,17.572,0.616,0.47
ID30,30,0,15.98,372.65,375.304,0,1,1,11,1,-10921639,82.525,86,0,149,34083,60.442,13.657,0.665,1.091
ID27,27,0,20.17,347.625,380.374,0,2,2,11,1,-10921639,112.983,149,0,149,46662,52.753,17.893,0.776,1.871
