Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID108,108,0,1.49,385.717,397.532,0,0,0,11,1,-10921639,18.615,0,0,149,7688,34.109,13.084,0.755,0.47
ID115,115,0,11.452,397.121,396.358,0,1,1,11,1,-10921639,53.404,43,0,149,22056,54.798,11.897,0.803,0.868
ID112,112,0,5.271,374.121,396.802,0,2,2,11,1,-10921639,35.656,11,0,149,14726,46.665,15.997,0.691,0.625
