Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1,1,0,1.248,364.215,366.072,0,0,0,11,1,-10921639,12.293,0,0,149,5077,28.559,6.582,0.623,0.331
ID5,5,0,10.333,374.576,368.677,0,1,1,11,1,-10921639,47.61,21,0,149,19663,55.082,10.598,0.618,0.66
ID2,2,0,14.445,348.102,376.625,0,2,2,11,1,-10921639,78.337,76,0,149,32353,60.33,18.076,0.635,1.009
