Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID59,59,0,1.971,358.752,387.499,0,0,0,11,1,-10921639,22.354,0,0,149,9232,37.123,14.992,0.484,0.393
ID51,51,0,13.603,372.157,380.501,0,1,1,11,1,-10921639,73.475,65,0,149,30345,57.279,19.511,0.745,1.095
ID55,55,0,18.446,348.258,380.502,0,2,2,11,1,-10921639,86.68,97,0,149,35799,60.326,18.784,0.817,1.292
